,position,homeAway,tries,tryassists,points,kicks,passes,runs,metres,cleanbreaks,defendersbeaten,offload,lineoutwonsteal,turnoversconceded,tackles,missedtackles,lineoutswon,penaltiesconceded,yellowcards,redcards,penalties,penaltygoals,conversiongoals,dropgoalsconverted,finalScore
58,3,0,1,0,5,0,3,11,7,0,2,0,0,0,17,4,0,1,0,0,0,0,0,0,0
59,6,0,0,0,0,0,12,15,26,1,0,0,0,2,14,4,0,0,0,0,0,0,0,0,0
60,1,1,1,0,5,0,2,8,51,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1
61,9,1,0,0,0,0,2,3,5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1
62,0,1,1,0,5,0,1,8,11,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,1
63,0,1,0,0,0,0,2,4,9,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1
64,9,1,0,1,0,0,1,6,25,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1
65,2,1,0,0,4,0,22,4,0,0,0,0,0,1,2,5,0,0,0,0,0,0,2,0,1
66,8,1,0,1,0,0,60,5,8,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,1
67,7,1,0,0,0,0,1,3,2,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,1
68,4,1,0,0,0,0,0,10,5,0,1,0,0,0,9,0,13,2,0,0,0,0,0,0,1
69,7,1,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1
70,5,1,0,0,0,0,4,5,9,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1
71,5,1,0,0,0,0,5,9,1,0,0,1,0,2,10,0,0,2,0,0,0,0,0,0,1
72,3,1,0,0,0,0,0,5,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
73,3,1,0,0,0,0,3,6,3,0,2,0,0,1,9,1,0,0,0,0,0,0,0,0,1
74,6,1,0,0,0,0,3,8,8,0,0,0,0,1,6,1,0,1,0,0,0,0,0,0,1
75,1,0,0,0,0,0,1,6,17,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
76,9,0,1,0,5,0,0,7,47,1,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,3,4,0,4,0,0,0,6,1,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,3,6,21,1,1,0,0,1,12,1,0,0,0,0,0,0,0,0,0
79,9,0,0,1,0,0,2,4,20,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0
80,2,0,0,0,16,0,14,4,23,0,1,0,0,0,9,0,0,0,0,0,4,4,2,0,0
81,8,0,0,0,0,0,41,3,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
82,7,0,0,0,0,0,1,5,3,0,2,0,0,0,10,1,0,0,0,0,0,0,0,0,0
83,4,0,1,0,5,0,2,4,3,0,0,0,0,0,12,0,16,1,0,0,0,0,0,0,0
84,7,0,0,0,0,0,1,4,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
85,5,0,0,0,0,0,0,4,4,0,1,0,0,0,8,0,0,3,1,0,0,0,0,0,0
86,5,0,0,0,0,0,3,4,0,0,0,0,0,1,10,1,0,1,0,0,0,0,0,0,0
87,3,0,0,0,0,0,3,3,6,0,0,1,0,1,13,1,0,1,0,0,0,0,0,0,0
88,3,0,0,0,0,0,2,8,12,0,1,0,0,1,4,1,0,1,0,0,0,0,0,0,0
89,6,0,0,0,0,0,3,5,10,0,0,0,0,1,7,1,0,1,0,0,0,0,0,0,0
90,1,1,0,2,0,0,4,8,43,1,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0
91,9,1,0,0,0,0,1,8,39,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0
92,0,1,0,0,0,0,2,4,10,0,1,1,0,3,6,1,0,0,0,0,0,0,0,0,0
